PROV1;Rice Beach;Rice Beach;Rice Beach;;;;;;;;;x
PROV2;Mount Teapot;Mount Teapot;Mount Teapot;;;;;;;;;x
PROV3;Sherbet Land;Sherbet Land;Sherbet Land;;;;;;;;;x
PROV4;Stove Canyon;Stove Canyon;Stove Canyon;;;;;;;;;x
PROV5;Teacup Cove;Teacup Cove;Teacup Cove;;;;;;;;;x
PROV6;Parsley Forest;Parsley Forest;Parsley Forest;;;;;;;;;x
PROV7;Syrup Castle;Syrup Castle;Syrup Castle;;;;;;;;;x
PROV8;Mario's Castle;Mario's Castle;Mario's Castle;;;;;;;;;x
PROV9;Toad House;Toad House;Toad House;;;;;;;;;x
PROV10;Mario Zone;Mario Zone;Mario Zone;;;;;;;;;x
PROV11;Pumpkin Zone;Pumpkin Zone;Pumpkin Zone;;;;;;;;;x
PROV12;Turtle Zone;Turtle Zone;Turtle Zone;;;;;;;;;x
PROV13;Macro Zone;Macro Zone;Macro Zone;;;;;;;;;x
PROV14;Hippo Zone;Hippo Zone;Hippo Zone;;;;;;;;;x
PROV15;Tree Zone;Tree Zone;Tree Zone;;;;;;;;;x
PROV16;Yoshi's Island World 1;Yoshi's Island World 1;Yoshi's Island World 1;;;;;;;;;x
PROV17;Yoshi's Island World 2;Yoshi's Island World 2;Yoshi's Island World 2;;;;;;;;;x
PROV18;Yoshi's Island World 3;Yoshi's Island World 3;Yoshi's Island World 3;;;;;;;;;x
PROV19;Yoshi's Island World 4;Yoshi's Island World 4;Yoshi's Island World 4;;;;;;;;;x
PROV20;Yoshi's Island World 5;Yoshi's Island World 5;Yoshi's Island World 5;;;;;;;;;x
PROV21;Donut Plains;Donut Plains;Donut Plains;;;;;;;;;x
PROV22;Vanilla Dome;Vanilla Dome;Vanilla Dome;;;;;;;;;x
PROV23;Twin Bridges;Twin Bridges;Twin Bridges;;;;;;;;;x
PROV24;Forest of Illusion;Forest of Illusion;Forest of Illusion;;;;;;;;;x
PROV25;Chocolate Island;Chocolate Island;Chocolate Island;;;;;;;;;x
PROV26;Bowser's Reef;Bowser's Reef;Bowser's Reef;;;;;;;;;x
PROV27;Beanbean Castle;Beanbean Castle;Beanbean Castle;;;;;;;;;x
PROV28;Beanbean Airport;Beanbean Airport;Beanbean Airport;;;;;;;;;x
PROV29;Beanbean Swamp;Beanbean Swamp;Beanbean Swamp;;;;;;;;;x
PROV30;Stardust Fields;Stardust Fields;Stardust Fields;;;;;;;;;x
PROV31;Hoohoo Village;Hoohoo Village;Hoohoo Village;;;;;;;;;x
PROV32;Hoohoo Mountain;Hoohoo Mountain;Hoohoo Mountain;;;;;;;;;x
PROV33;Chateau de Chucklehuck;Chateau de Chucklehuck;Chateau de Chucklehuck;;;;;;;;;x
PROV34;Chucklehuck Woods;Chucklehuck Woods;Chucklehuck Woods;;;;;;;;;x
PROV35;Woohoo University;Woohoo University;Woohoo University;;;;;;;;;x
PROV36;Oho Oasis;Oho Oasis;Oho Oasis;;;;;;;;;x
PROV37;Teehee Valley;Teehee Valley;Teehee Valley;;;;;;;;;x
PROV38;Little Fungitown;Little Fungitown;Little Fungitown;;;;;;;;;x
PROV39;Guffawha Ruins;Guffawha Ruins;Guffawha Ruins;;;;;;;;;x
PROV40;Gwarhar Lagoon;Gwarhar Lagoon;Gwarhar Lagoon;;;;;;;;;x
PROV41;Yoshi Theatre;Yoshi Theatre;Yoshi Theatre;;;;;;;;;x
PROV42;Joke's End;Joke's End;Joke's End;;;;;;;;;x
PROV43;Beanbean Meadows;Beanbean Meadows;Beanbean Meadows;;;;;;;;;x
PROV44;Delfino Airstrip;Delfino Airstrip;Delfino Airstrip;;;;;;;;;x
PROV45;Delfino Plaza;Delfino Plaza;Delfino Plaza;;;;;;;;;x
PROV46;Bianco Hills;Bianco Hills;Bianco Hills;;;;;;;;;x
PROV47;Ricco Harbour;Ricco Harbour;Ricco Harbour;;;;;;;;;x
PROV48;Gelato Beach;Gelato Beach;Gelato Beach;;;;;;;;;x
PROV49;Pinna Island;Pinna Island;Pinna Island;;;;;;;;;x
PROV50;Sirena Beach;Sirena Beach;Sirena Beach;;;;;;;;;x
PROV51;Noki Bay;Noki Bay;Noki Bay;;;;;;;;;x
PROV52;Pianta Village;Pianta Village;Pianta Village;;;;;;;;;x
PROV53;Corona Mountain;Corona Mountain;Corona Mountain;;;;;;;;;x
PROV54;Peach Beach;Peach Beach;Peach Beach;;;;;;;;;x
PROV55;Big Fish Island;Big Fish Island;Big Fish Island;;;;;;;;;x
PROV56;Little Fish Island;Little Fish Island;Little Fish Island;;;;;;;;;x
PROV57;Pectoral Fin Peninsula;Pectoral Fin Peninsula;Pectoral Fin Peninsula;;;;;;;;;x
PROV58;Dorsal Fin Bay;Dorsal Fin Bay;Dorsal Fin Bay;;;;;;;;;x
PROV59;Angelo Harbour;Angelo Harbour;Angelo Harbour;;;;;;;;;x
PROV60;Angelo Hills;Angelo Hills;Angelo Hills;;;;;;;;;x
PROV61;Tailfin Bay;Tailfin Bay;Tailfin Bay;;;;;;;;;x
PROV62;Grande Artiglio Island;Grande Artiglio Island;Grande Artiglio Island;;;;;;;;;x
PROV63;Piccolo Artiglio Island;Piccolo Artiglio Island;Piccolo Artiglio Island;;;;;;;;;x
PROV64;Bocca Beach;Bocca Beach;Bocca Beach;;;;;;;;;x
PROV65;Fianco Harbour;Fianco Harbour;Fianco Harbour;;;;;;;;;x
