From;To;Type;Through;-1;-1;-1;-1;Comment
2;3;sea;1285;-1;-1;-1;-1;Mt. Teapot-Sherbet Land
15;14;sea;1279;-1;-1;-1;-1;Tree Zone-Hippo Zone
10;12;sea;1279;-1;-1;-1;-1;Mario Zone-Turtle Zone
19;21;sea;1041;-1;-1;-1;-1;Yoshi's Island World 4-Donut Plains
24;25;sea;1045;-1;-1;-1;-1;Forest of Illusion-Chocolate Island
43;27;sea;1301;-1;-1;-1;-1;Beanbean Meadows-Beanbean Castle
29;27;sea;1301;-1;-1;-1;-1;Beanbean Swamp-Beanbean Castle
37;42;sea;1056;-1;-1;-1;-1;Teehee Valley-Joke's End
40;36;sea;1055;-1;-1;-1;-1;Gwarhar Lagoon-Oho Oasis
42;36;sea;1056;-1;-1;-1;-1;Joke's End-Oho Oasis
29;35;sea;1055;-1;-1;-1;-1;Joke's End-Oho Oasis
39;32;major_river;1479;-1;-1;-1;-1;Guffawha Ruins-Hoohoo Mountain
28;29;sea;1054;-1;-1;-1;-1;Beanbean Airport-Beanbean Swamp
44;45;sea;1063;-1;-1;-1;-1;Delfino Airstrip-Delfino Plaza
55;56;sea;1089;-1;-1;-1;-1;Big Fish Island-Little Fish Island
68;66;sea;1074;-1;-1;-1;-1;Gamba Destra Islands-Corrazza Mountains
67;66;sea;1074;-1;-1;-1;-1;Gamba Sinistra Islands-Corrazza Mountains
69;63;sea;1073;-1;-1;-1;-1;Granchio Airport-Piccolo Artiglio Island
69;66;sea;1073;-1;-1;-1;-1;Granchio Airport-Corrazza Mountains
62;64;sea;1072;-1;-1;-1;-1;Grande Artiglio Island-Bocca Beach
67;65;sea;1074;-1;-1;-1;-1;Gamba Sinistra Islands-Fianco Harbour
49;50;sea;1068;-1;-1;-1;-1;Pinna Island-Sirena Beach
68;67;sea;1074;-1;-1;-1;-1;Gamba Destra Islands-Gamba Sinistra Islands
72;78;sea;1077;-1;-1;-1;-1;Isle Tartaruga-Koopa Kabana
75;73;sea;1077;-1;-1;-1;-1;Isle Liuto-Isle Cuore
77;73;sea;1078;-1;-1;-1;-1;Isle Schiena Piatta-Isle Cuore
76;73;sea;1079;-1;-1;-1;-1;Isle Schiena Piatta-Isle Cuore
74;73;sea;1076;-1;-1;-1;-1;Isle Schiena Piatta-Isle Cuore
