#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_(mario_party)_jellyfish_island;(Mario Party) Jellyfish Island;(Mario Party) Jellyfish Island;(Mario Party) Jellyfish Island;;(Mario Party) Jellyfish Island;;;;;;;;;x
d_(mario_party)_jellyfish_island_adj;(Mario Party) Jellyfish Islandian;;(Mario Party) Jellyfish Islander;;;;;;;;;;;x
d_1_0;1.0;1.0;1.0;;1.0;;;;;;;;;x
d_1_0_adj;1.0ian;;1.0er;;;;;;;;;;;x
d_apple_kingdom;Apple Kingdom;Apple Kingdom;Apple Kingdom;;Apple Kingdom;;;;;;;;;x
d_apple_kingdom_adj;Apple Kingdomian;;Apple Kingdomer;;;;;;;;;;;x
d_banana_kingdom;Banana Kingdom;Banana Kingdom;Banana Kingdom;;Banana Kingdom;;;;;;;;;x
d_banana_kingdom_adj;Banana Kingdomian;;Banana Kingdomer;;;;;;;;;;;x
d_barrel_volcano;Barrel Volcano;Barrel Volcano;Barrel Volcano;;Barrel Volcano;;;;;;;;;x
d_barrel_volcano_adj;Barrel Volcanian;;Barrel Volcaner;;;;;;;;;;;x
d_baseball_kingdom;Baseball Kingdom;Baseball Kingdom;Baseball Kingdom;;Baseball Kingdom;;;;;;;;;x
d_baseball_kingdom_adj;Baseball Kingdomian;;Baseball Kingdomer;;;;;;;;;;;x
d_beanbean_kingdom;Beanbean Kingdom;Beanbean Kingdom;Beanbean Kingdom;;Beanbean Kingdom;;;;;;;;;x
d_beanbean_kingdom_adj;Beanbean Kingdomian;;Beanbean Kingdomer;;;;;;;;;;;x
d_big_island;Big Island;Big Island;Big Island;;Big Island;;;;;;;;;x
d_big_island_adj;Big Islandian;;Big Islander;;;;;;;;;;;x
d_blubble_lake;Blubble Lake;Blubble Lake;Blubble Lake;;Blubble Lake;;;;;;;;;x
d_blubble_lake_adj;Blubble Lakean;;Blubble Laker;;;;;;;;;;;x
d_bonus_channels;Bonus Channels;Bonus Channels;Bonus Channels;;Bonus Channels;;;;;;;;;x
d_bonus_channels_adj;Bonus Channelsian;;Bonus Channelser;;;;;;;;;;;x
d_bows_domain;Bow's Domain;Bow's Domain;Bow's Domain;;Bow's Domain;;;;;;;;;x
d_bows_domain_adj;Bows Domainian;;Bow's Domainer;;;;;;;;;;;x
d_bowsers_land;Bowser's Land;Bowser's Land;Bowser's Land;;Bowser's Land;;;;;;;;;x
d_bowsers_land_adj;Bowsers Landian;;Bowser's Lander;;;;;;;;;;;x
d_bright_savannah;Bright Savannah;Bright Savannah;Bright Savannah;;Bright Savannah;;;;;;;;;x
d_bright_savannah_adj;Bright Savannahian;;Bright Savannaher;;;;;;;;;;;x
d_bs;BS;BS;BS;;BS;;;;;;;;;x
d_bs_adj;BSian;;bser;;;;;;;;;;;x
d_canyon_bay;Canyon Bay;Canyon Bay;Canyon Bay;;Canyon Bay;;;;;;;;;x
d_canyon_bay_adj;Canyon Baian;;Canyon Baer;;;;;;;;;;;x
d_cavi_cape;Cavi Cape;Cavi Cape;Cavi Cape;;Cavi Cape;;;;;;;;;x
d_cavi_cape_adj;Cavi Capean;;Cavi Caper;;;;;;;;;;;x
d_cherry_kingdom;Cherry Kingdom;Cherry Kingdom;Cherry Kingdom;;Cherry Kingdom;;;;;;;;;x
d_cherry_kingdom_adj;Cherry Kingdomian;;Cherry Kingdomer;;;;;;;;;;;x
d_chili_pepper_kingdom;Chili Pepper Kingdom;Chili Pepper Kingdom;Chili Pepper Kingdom;;Chili Pepper Kingdom;;;;;;;;;x
d_chili_pepper_kingdom_adj;Chili Pepper Kingdomian;;Chili Pepper Kingdomer;;;;;;;;;;;x
d_christmas_approach;Christmas Approach;Christmas Approach;Christmas Approach;;Christmas Approach;;;;;;;;;x
d_christmas_approach_adj;Christmas Approachian;;Christmas Approacher;;;;;;;;;;;x
d_coast_of_riches;Coast of Riches;Coast of Riches;Coast of Riches;;Coast of Riches;;;;;;;;;x
d_coast_of_riches_adj;Coast of Richesian;;Coast of Richeser;;;;;;;;;;;x
d_cold_range/dk_king_of_swing;Cold Range/DK King of Swing;Cold Range/DK King of Swing;Cold Range/DK King of Swing;;Cold Range/DK King of Swing;;;;;;;;;x
d_cold_range/dk_king_of_swing_adj;Cold Range/DK King of Swingian;;Cold Range/DK King of Swinger;;;;;;;;;;;x
d_crab_islands;Crab Islands;Crab Islands;Crab Islands;;Crab Islands;;;;;;;;;x
d_crab_islands_adj;Crab Islandsian;;Crab Islandser;;;;;;;;;;;x
d_crabs_shore;Crab's Shore;Crab's Shore;Crab's Shore;;Crab's Shore;;;;;;;;;x
d_crabs_shore_adj;Crabs Shorean;;Crab's Shorer;;;;;;;;;;;x
d_crocodile_isle;Crocodile Isle;Crocodile Isle;Crocodile Isle;;Crocodile Isle;;;;;;;;;x
d_crocodile_isle_adj;Crocodile Islean;;Crocodile Isler;;;;;;;;;;;x
d_dark_world;Dark World;Dark World;Dark World;;Dark World;;;;;;;;;x
d_dark_world_adj;Dark Worldian;;Dark Worlder;;;;;;;;;;;x
d_desert_land;Desert Land;Desert Land;Desert Land;;Desert Land;;;;;;;;;x
d_desert_land_adj;Desert Landian;;Desert Lander;;;;;;;;;;;x
d_diamond_islands;Diamond Islands;Diamond Islands;Diamond Islands;;Diamond Islands;;;;;;;;;x
d_diamond_islands_adj;Diamond Islandsian;;Diamond Islandser;;;;;;;;;;;x
d_dimple_woods;Dimple Woods;Dimple Woods;Dimple Woods;;Dimple Woods;;;;;;;;;x
d_dimple_woods_adj;Dimple Woodsian;;Dimple Woodser;;;;;;;;;;;x
d_dino_sea;Dino Sea;Dino Sea;Dino Sea;;Dino Sea;;;;;;;;;x
d_dino_sea_adj;Dino Sean;;Dino Ser;;;;;;;;;;;x
d_dinosaur_land;Dinosaur Land;Dinosaur Land;Dinosaur Land;;Dinosaur Land;;;;;;;;;x
d_dinosaur_land_adj;Dinosaur Landian;;Dinosaur Lander;;;;;;;;;;;x
d_dk_jungle_climber;DK Jungle Climber;DK Jungle Climber;DK Jungle Climber;;DK Jungle Climber;;;;;;;;;x
d_dk_jungle_climber_adj;DK Jungle Climberian;;DK Jungle Climberer;;;;;;;;;;;x
d_dk_king_of_swing;DK King of Swing;DK King of Swing;DK King of Swing;;DK King of Swing;;;;;;;;;x
d_dk_king_of_swing_adj;DK King of Swingian;;DK King of Swinger;;;;;;;;;;;x
d_dkl3;DKL3;DKL3;DKL3;;DKL3;;;;;;;;;x
d_dkl3_adj;DKL3ian;;dkl3er;;;;;;;;;;;x
d_donkey_kong_country;Donkey Kong Country;Donkey Kong Country;Donkey Kong Country;;Donkey Kong Country;;;;;;;;;x
d_donkey_kong_country_adj;Donkey Kong Countrian;;Donkey Kong Countrer;;;;;;;;;;;x
d_donkey_kong_land;Donkey Kong Land;Donkey Kong Land;Donkey Kong Land;;Donkey Kong Land;;;;;;;;;x
d_donkey_kong_land_adj;Donkey Kong Landian;;Donkey Kong Lander;;;;;;;;;;;x
d_durian_kingdom;Durian Kingdom;Durian Kingdom;Durian Kingdom;;Durian Kingdom;;;;;;;;;x
d_durian_kingdom_adj;Durian Kingdomian;;Durian Kingdomer;;;;;;;;;;;x
d_eel_islands;Eel Islands;Eel Islands;Eel Islands;;Eel Islands;;;;;;;;;x
d_eel_islands_adj;Eel Islandsian;;Eel Islandser;;;;;;;;;;;x
d_evershade_valley;Evershade Valley;Evershade Valley;Evershade Valley;;Evershade Valley;;;;;;;;;x
d_evershade_valley_adj;Evershade Valleian;;Evershade Valleer;;;;;;;;;;;x
d_fish_islands;Fish Islands;Fish Islands;Fish Islands;;Fish Islands;;;;;;;;;x
d_fish_islands_adj;Fish Islandsian;;Fish Islandser;;;;;;;;;;;x
d_flurries_of_the_bay;Flurries of the Bay;Flurries of the Bay;Flurries of the Bay;;Flurries of the Bay;;;;;;;;;x
d_flurries_of_the_bay_adj;Flurries of the Baian;;Flurries of the Baer;;;;;;;;;;;x
d_grape_kingdom;Grape Kingdom;Grape Kingdom;Grape Kingdom;;Grape Kingdom;;;;;;;;;x
d_grape_kingdom_adj;Grape Kingdomian;;Grape Kingdomer;;;;;;;;;;;x
d_grass_land;Grass Land;Grass Land;Grass Land;;Grass Land;;;;;;;;;x
d_grass_land_adj;Grass Landian;;Grass Lander;;;;;;;;;;;x
d_great_ape_lakes;Great Ape Lakes;Great Ape Lakes;Great Ape Lakes;;Great Ape Lakes;;;;;;;;;x
d_great_ape_lakes_adj;Great Ape Lakesian;;Great Ape Lakeser;;;;;;;;;;;x
d_great_ocean;Great Ocean;Great Ocean;Great Ocean;;Great Ocean;;;;;;;;;x
d_great_ocean_adj;Great Oceanian;;Great Oceaner;;;;;;;;;;;x
d_hollijolli_area;Hollijolli Area;Hollijolli Area;Hollijolli Area;;Hollijolli Area;;;;;;;;;x
d_hollijolli_area_adj;Hollijolli Arean;;Hollijolli Arer;;;;;;;;;;;x
d_iced_land;Iced Land;Iced Land;Iced Land;;Iced Land;;;;;;;;;x
d_iced_land_adj;Iced Landian;;Iced Lander;;;;;;;;;;;x
d_inchfish_bay;Inchfish Bay;Inchfish Bay;Inchfish Bay;;Inchfish Bay;;;;;;;;;x
d_inchfish_bay_adj;Inchfish Baian;;Inchfish Baer;;;;;;;;;;;x
d_isle_defino;Isle Defino;Isle Defino;Isle Defino;;Isle Defino;;;;;;;;;x
d_isle_defino_adj;Isle Definian;;Isle Definer;;;;;;;;;;;x
d_jewelry_land;Jewelry Land;Jewelry Land;Jewelry Land;;Jewelry Land;;;;;;;;;x
d_jewelry_land_adj;Jewelry Landian;;Jewelry Lander;;;;;;;;;;;x
d_juicy_jungle;Juicy Jungle;Juicy Jungle;Juicy Jungle;;Juicy Jungle;;;;;;;;;x
d_juicy_jungle_adj;Juicy Junglean;;Juicy Jungler;;;;;;;;;;;x
d_kitchen_island;Kitchen Island;Kitchen Island;Kitchen Island;;Kitchen Island;;;;;;;;;x
