#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_1_0;1.0;1.0;1.0;;1.0;;;;;;;;;x
e_1_0_adj;1.0ian;;1.0er;;;;;;;;;;;x
e_bluefish_bay;Bluefish Bay;Bluefish Bay;Bluefish Bay;;Bluefish Bay;;;;;;;;;x
e_bluefish_bay_adj;Bluefish Baian;;Bluefish Baer;;;;;;;;;;;x
e_central_fruitlandia;Central Fruitlandia;Central Fruitlandia;Central Fruitlandia;;Central Fruitlandia;;;;;;;;;x
e_central_fruitlandia_adj;Central Fruitlandian;;Central Fruitlander;;;;;;;;;;;x
e_christmas_isles;Christmas Isles;Christmas Isles;Christmas Isles;;Christmas Isles;;;;;;;;;x
e_christmas_isles_adj;Christmas Islesian;;Christmas Isleser;;;;;;;;;;;x
e_crocodile_winterlands;Crocodile Winterlands;Crocodile Winterlands;Crocodile Winterlands;;Crocodile Winterlands;;;;;;;;;x
e_crocodile_winterlands_adj;Crocodile Winterlandsian;;Crocodile Winterlandser;;;;;;;;;;;x
e_danger_waters;Danger Waters;Danger Waters;Danger Waters;;Danger Waters;;;;;;;;;x
e_danger_waters_adj;Danger Watersian;;Danger Waterser;;;;;;;;;;;x
e_dark_firelands;Dark Firelands;Dark Firelands;Dark Firelands;;Dark Firelands;;;;;;;;;x
e_dark_firelands_adj;Dark Firelandsian;;Dark Firelandser;;;;;;;;;;;x
e_empire_of_land_and_sea;Empire of Land and Sea;Empire of Land and Sea;Empire of Land and Sea;;Empire of Land and Sea;;;;;;;;;x
e_empire_of_land_and_sea_adj;Empire of Landian;;Empire of Land and Ser;;;;;;;;;;;x
e_grand_delfino_isles;Grand Delfino Isles;Grand Delfino Isles;Grand Delfino Isles;;Grand Delfino Isles;;;;;;;;;x
e_grand_delfino_isles_adj;Grand Delfino Islesian;;Grand Delfino Isleser;;;;;;;;;;;x
e_greater_bubblelands;Greater Bubblelands;Greater Bubblelands;Greater Bubblelands;;Greater Bubblelands;;;;;;;;;x
e_greater_bubblelands_adj;Greater Bubblelandsian;;Greater Bubblelandser;;;;;;;;;;;x
e_junglesaltlands;Junglesaltlands;Junglesaltlands;Junglesaltlands;;Junglesaltlands;;;;;;;;;x
e_junglesaltlands_adj;Junglesaltlandsian;;junglesaltlandser;;;;;;;;;;;x
e_koopa_waylands;Koopa Waylands;Koopa Waylands;Koopa Waylands;;Koopa Waylands;;;;;;;;;x
e_koopa_waylands_adj;Koopa Waylandsian;;Koopa Waylandser;;;;;;;;;;;x
e_lightbrightice;LightbrightIce;LightbrightIce;LightbrightIce;;LightbrightIce;;;;;;;;;x
e_lightbrightice_adj;LightbrightIcean;;lightbrighticer;;;;;;;;;;;x
e_marios_empire;Mario's Empire;Mario's Empire;Mario's Empire;;Mario's Empire;;;;;;;;;x
e_marios_empire_adj;Marios Empirean;;Mario's Empirer;;;;;;;;;;;x
e_marshlands;Marshlands;Marshlands;Marshlands;;Marshlands;;;;;;;;;x
e_marshlands_adj;Marshlandsian;;marshlandser;;;;;;;;;;;x
e_mountlands;Mountlands;Mountlands;Mountlands;;Mountlands;;;;;;;;;x
e_mountlands_adj;Mountlandsian;;mountlandser;;;;;;;;;;;x
e_mountmineland;Mountmineland;Mountmineland;Mountmineland;;Mountmineland;;;;;;;;;x
e_mountmineland_adj;Mountminelandian;;mountminelander;;;;;;;;;;;x
