#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_1_0;1.0;1.0;1.0;;1.0;;;;;;;;;x
k_1_0_adj;1.0ian;;1.0er;;;;;;;;;;;x
k_barrier_pathland;Barrier Pathland;Barrier Pathland;Barrier Pathland;;Barrier Pathland;;;;;;;;;x
k_barrier_pathland_adj;Barrier Pathlandian;;Barrier Pathlander;;;;;;;;;;;x
k_baseegg_park;BaseEgg Park;BaseEgg Park;BaseEgg Park;;BaseEgg Park;;;;;;;;;x
k_baseegg_park_adj;BaseEgg Parkian;;BaseEgg Parker;;;;;;;;;;;x
k_big_sea_heights;Big Sea Heights;Big Sea Heights;Big Sea Heights;;Big Sea Heights;;;;;;;;;x
k_big_sea_heights_adj;Big Sea Heightsian;;Big Sea Heightser;;;;;;;;;;;x
k_blueleaf_ocean;Blueleaf Ocean;Blueleaf Ocean;Blueleaf Ocean;;Blueleaf Ocean;;;;;;;;;x
k_blueleaf_ocean_adj;Blueleaf Oceanian;;Blueleaf Oceaner;;;;;;;;;;;x
k_bowsers_kingdom;Bowser's Kingdom;Bowser's Kingdom;Bowser's Kingdom;;Bowser's Kingdom;;;;;;;;;x
k_bowsers_kingdom_adj;Bowsers Kingdomian;;Bowser's Kingdomer;;;;;;;;;;;x
k_bowsers_rock;Bowser's Rock;Bowser's Rock;Bowser's Rock;;Bowser's Rock;;;;;;;;;x
k_bowsers_rock_adj;Bowsers Rockian;;Bowser's Rocker;;;;;;;;;;;x
k_brightlight_jungle;Brightlight Jungle;Brightlight Jungle;Brightlight Jungle;;Brightlight Jungle;;;;;;;;;x
k_brightlight_jungle_adj;Brightlight Junglean;;Brightlight Jungler;;;;;;;;;;;x
k_bubblelands;Bubblelands;Bubblelands;Bubblelands;;Bubblelands;;;;;;;;;x
k_bubblelands_adj;Bubblelandsian;;bubblelandser;;;;;;;;;;;x
k_cape_of_black_ice;Cape of Black Ice;Cape of Black Ice;Cape of Black Ice;;Cape of Black Ice;;;;;;;;;x
k_cape_of_black_ice_adj;Cape of Black Icean;;Cape of Black Icer;;;;;;;;;;;x
k_cape_of_the_current;Cape of The Current;Cape of The Current;Cape of The Current;;Cape of The Current;;;;;;;;;x
k_cape_of_the_current_adj;Cape of The Currentian;;Cape of The Currenter;;;;;;;;;;;x
k_coastal_canyons;Coastal Canyons;Coastal Canyons;Coastal Canyons;;Coastal Canyons;;;;;;;;;x
k_coastal_canyons_adj;Coastal Canyonsian;;Coastal Canyonser;;;;;;;;;;;x
k_cold_townlands;Cold Townlands;Cold Townlands;Cold Townlands;;Cold Townlands;;;;;;;;;x
k_cold_townlands_adj;Cold Townlandsian;;Cold Townlandser;;;;;;;;;;;x
k_cooland;Cooland;Cooland;Cooland;;Cooland;;;;;;;;;x
k_cooland_adj;Coolandian;;coolander;;;;;;;;;;;x
k_crabwater;Crabwater;Crabwater;Crabwater;;Crabwater;;;;;;;;;x
k_crabwater_adj;Crabwaterian;;crabwaterer;;;;;;;;;;;x
k_dark_pipeland;Dark Pipeland;Dark Pipeland;Dark Pipeland;;Dark Pipeland;;;;;;;;;x
k_dark_pipeland_adj;Dark Pipelandian;;Dark Pipelander;;;;;;;;;;;x
