#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_acorn_plains;Acorn Plains;Acorn Plains;Acorn Plains;;Acorn Plains;;;;;;;;;x
c_acorn_plains_adj;Acorn Plainsian;;Acorn Plainser;;;;;;;;;;;x
c_aerie_fortress;Aerie Fortress;Aerie Fortress;Aerie Fortress;;Aerie Fortress;;;;;;;;;x
c_aerie_fortress_adj;Aerie Fortressian;;Aerie Fortresser;;;;;;;;;;;x
c_alpine_peak;Alpine Peak;Alpine Peak;Alpine Peak;;Alpine Peak;;;;;;;;;x
c_alpine_peak_adj;Alpine Peakian;;Alpine Peaker;;;;;;;;;;;x
c_ancient_foundry;Ancient Foundry;Ancient Foundry;Ancient Foundry;;Ancient Foundry;;;;;;;;;x
c_ancient_foundry_adj;Ancient Foundrian;;Ancient Foundrer;;;;;;;;;;;x
c_angelo_harbor;Angelo Harbor;Angelo Harbor;Angelo Harbor;;Angelo Harbor;;;;;;;;;x
c_angelo_harbor_adj;Angelo Harborian;;Angelo Harborer;;;;;;;;;;;x
c_angelo_hills;Angelo Hills;Angelo Hills;Angelo Hills;;Angelo Hills;;;;;;;;;x
c_angelo_hills_adj;Angelo Hillsian;;Angelo Hillser;;;;;;;;;;;x
c_ant_trooper_hill;Ant Trooper Hill;Ant Trooper Hill;Ant Trooper Hill;;Ant Trooper Hill;;;;;;;;;x
c_ant_trooper_hill_adj;Ant Trooper Hillian;;Ant Trooper Hiller;;;;;;;;;;;x
c_antipasto_ridge;Antipasto Ridge;Antipasto Ridge;Antipasto Ridge;;Antipasto Ridge;;;;;;;;;x
c_antipasto_ridge_adj;Antipasto Ridgean;;Antipasto Ridger;;;;;;;;;;;x
c_apple_mountain;Apple Mountain;Apple Mountain;Apple Mountain;;Apple Mountain;;;;;;;;;x
c_apple_mountain_adj;Apple Mountainian;;Apple Mountainer;;;;;;;;;;;x
c_archipelago_fortress;Archipelago Fortress;Archipelago Fortress;Archipelago Fortress;;Archipelago Fortress;;;;;;;;;x
c_archipelago_fortress_adj;Archipelago Fortressian;;Archipelago Fortresser;;;;;;;;;;;x
c_arid_castle;Arid Castle;Arid Castle;Arid Castle;;Arid Castle;;;;;;;;;x
c_arid_castle_adj;Arid Castlean;;Arid Castler;;;;;;;;;;;x
c_artic_plunge;Artic Plunge;Artic Plunge;Artic Plunge;;Artic Plunge;;;;;;;;;x
c_artic_plunge_adj;Artic Plungean;;Artic Plunger;;;;;;;;;;;x
c_ashen_slope;Ashen Slope;Ashen Slope;Ashen Slope;;Ashen Slope;;;;;;;;;x
c_ashen_slope_adj;Ashen Slopean;;Ashen Sloper;;;;;;;;;;;x
c_asteriod_belt;Asteriod Belt;Asteriod Belt;Asteriod Belt;;Asteriod Belt;;;;;;;;;x
c_asteriod_belt_adj;Asteriod Beltian;;Asteriod Belter;;;;;;;;;;;x
c_aurora_glacier;Aurora Glacier;Aurora Glacier;Aurora Glacier;;Aurora Glacier;;;;;;;;;x
c_aurora_glacier_adj;Aurora Glacierian;;Aurora Glacierer;;;;;;;;;;;x
c_autumn_fields;Autumn Fields;Autumn Fields;Autumn Fields;;Autumn Fields;;;;;;;;;x
c_autumn_fields_adj;Autumn Fieldsian;;Autumn Fieldser;;;;;;;;;;;x
c_autumn_grove;Autumn Grove;Autumn Grove;Autumn Grove;;Autumn Grove;;;;;;;;;x
c_autumn_grove_adj;Autumn Grovean;;Autumn Grover;;;;;;;;;;;x
c_autumn_heights;Autumn Heights;Autumn Heights;Autumn Heights;;Autumn Heights;;;;;;;;;x
c_autumn_heights_adj;Autumn Heightsian;;Autumn Heightser;;;;;;;;;;;x
c_avalanche_alley;Avalanche Alley;Avalanche Alley;Avalanche Alley;;Avalanche Alley;;;;;;;;;x
c_avalanche_alley_adj;Avalanche Alleian;;Avalanche Alleer;;;;;;;;;;;x
c_awazon_estuary;Awazon Estuary;Awazon Estuary;Awazon Estuary;;Awazon Estuary;;;;;;;;;x
c_awazon_estuary_adj;Awazon Estuarian;;Awazon Estuarer;;;;;;;;;;;x
c_awazon_plateau;Awazon Plateau;Awazon Plateau;Awazon Plateau;;Awazon Plateau;;;;;;;;;x
c_awazon_plateau_adj;Awazon Platian;;Awazon Plater;;;;;;;;;;;x
c_baby_park;Baby Park;Baby Park;Baby Park;;Baby Park;;;;;;;;;x
c_baby_park_adj;Baby Parkian;;Baby Parker;;;;;;;;;;;x
c_bald_mountain;Bald Mountain;Bald Mountain;Bald Mountain;;Bald Mountain;;;;;;;;;x
c_bald_mountain_adj;Bald Mountainian;;Bald Mountainer;;;;;;;;;;;x
c_balloon_bridge;Balloon Bridge;Balloon Bridge;Balloon Bridge;;Balloon Bridge;;;;;;;;;x
c_balloon_bridge_adj;Balloon Bridgean;;Balloon Bridger;;;;;;;;;;;x
c_bamboo_forest;Bamboo Forest;Bamboo Forest;Bamboo Forest;;Bamboo Forest;;;;;;;;;x
c_bamboo_forest_adj;Bamboo Forestian;;Bamboo Forester;;;;;;;;;;;x
c_banana_bay;Banana Bay;Banana Bay;Banana Bay;;Banana Bay;;;;;;;;;x
c_banana_bay_adj;Banana Baian;;Banana Baer;;;;;;;;;;;x
c_banana_bird_bay;Banana Bird Bay;Banana Bird Bay;Banana Bird Bay;;Banana Bird Bay;;;;;;;;;x
c_banana_bird_bay_adj;Banana Bird Baian;;Banana Bird Baer;;;;;;;;;;;x
c_banana_bird_lake;Banana Bird Lake;Banana Bird Lake;Banana Bird Lake;;Banana Bird Lake;;;;;;;;;x
c_banana_bird_lake_adj;Banana Bird Lakean;;Banana Bird Laker;;;;;;;;;;;x
c_banana_bungalow;Banana Bungalow;Banana Bungalow;Banana Bungalow;;Banana Bungalow;;;;;;;;;x
c_banana_bungalow_adj;Banana Bungalowian;;Banana Bungalower;;;;;;;;;;;x
c_banana_fairy_island;Banana Fairy Island;Banana Fairy Island;Banana Fairy Island;;Banana Fairy Island;;;;;;;;;x
c_banana_fairy_island_adj;Banana Fairy Islandian;;Banana Fairy Islander;;;;;;;;;;;x
c_banana_ruins;Banana Ruins;Banana Ruins;Banana Ruins;;Banana Ruins;;;;;;;;;x
c_banana_ruins_adj;Banana Ruinsian;;Banana Ruinser;;;;;;;;;;;x
c_bandits_way;Bandit's Way;Bandit's Way;Bandit's Way;;Bandit's Way;;;;;;;;;x
c_bandits_way_adj;Bandits Waian;;Bandit's Waer;;;;;;;;;;;x
c_banshee_swamp;Banshee Swamp;Banshee Swamp;Banshee Swamp;;Banshee Swamp;;;;;;;;;x
c_banshee_swamp_adj;Banshee Swampian;;Banshee Swamper;;;;;;;;;;;x
c_banzai_bills_mad_mountain;Banzai Bill's Mad Mountain;Banzai Bill's Mad Mountain;Banzai Bill's Mad Mountain;;Banzai Bill's Mad Mountain;;;;;;;;;x
c_banzai_bills_mad_mountain_adj;Banzai Bills Mad Mountainian;;Banzai Bill's Mad Mountainer;;;;;;;;;;;x
