#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_angelo_island;Angelo Island;Angelo Island;Angelo Island;;Angelo Island;;;;;;;;;x
d_angelo_island_adj;Angelo Islandian;;Angelo Islander;;;;;;;;;;;x
d_apple;Apple;Apple;Apple;;Apple;;;;;;;;;x
d_apple_adj;Applean;;appler;;;;;;;;;;;x
d_artiglio_island;Artiglio Island;Artiglio Island;Artiglio Island;;Artiglio Island;;;;;;;;;x
d_artiglio_island_adj;Artiglio Islandian;;Artiglio Islander;;;;;;;;;;;x
d_artiglio_islands;Artiglio Islands;Artiglio Islands;Artiglio Islands;;Artiglio Islands;;;;;;;;;x
d_artiglio_islands_adj;Artiglio Islandsian;;Artiglio Islandser;;;;;;;;;;;x
d_badlands;Badlands;Badlands;Badlands;;Badlands;;;;;;;;;x
d_badlands_adj;Badlandsian;;badlandser;;;;;;;;;;;x
d_banana;Banana;Banana;Banana;;Banana;;;;;;;;;x
d_banana_adj;Bananan;;bananer;;;;;;;;;;;x
d_baseball_island;Baseball Island;Baseball Island;Baseball Island;;Baseball Island;;;;;;;;;x
d_baseball_island_adj;Baseball Islandian;;Baseball Islander;;;;;;;;;;;x
d_beanbean_duchy;Beanbean Duchy;Beanbean Duchy;Beanbean Duchy;;Beanbean Duchy;;;;;;;;;x
d_beanbean_duchy_adj;Beanbean Duchian;;Beanbean Ducher;;;;;;;;;;;x
d_bianco_hills;Bianco Hills;Bianco Hills;Bianco Hills;;Bianco Hills;;;;;;;;;x
d_bianco_hills_adj;Bianco Hillsian;;Bianco Hillser;;;;;;;;;;;x
d_big_city_bay;Big City Bay;Big City Bay;Big City Bay;;Big City Bay;;;;;;;;;x
d_big_city_bay_adj;Big City Baian;;Big City Baer;;;;;;;;;;;x
d_birabuto;Birabuto;Birabuto;Birabuto;;Birabuto;;;;;;;;;x
d_birabuto_adj;Birabutian;;birabuter;;;;;;;;;;;x
d_blubble_lake;Blubble Lake;Blubble Lake;Blubble Lake;;Blubble Lake;;;;;;;;;x
d_blubble_lake_adj;Blubble Lakean;;Blubble Laker;;;;;;;;;;;x
d_bone_dry_desert;Bone-Dry Desert;Bone-Dry Desert;Bone-Dry Desert;;Bone-Dry Desert;;;;;;;;;x
d_bone_dry_desert_adj;Bone-Dry Desertian;;Bone-Dry Deserter;;;;;;;;;;;x
d_boo_lake;Boo Lake;Boo Lake;Boo Lake;;Boo Lake;;;;;;;;;x
d_boo_lake_adj;Boo Lakean;;Boo Laker;;;;;;;;;;;x
d_bowser_land;Bowser Land;Bowser Land;Bowser Land;;Bowser Land;;;;;;;;;x
d_bowser_land_adj;Bowser Landian;;Bowser Lander;;;;;;;;;;;x
d_car_land;Car Land;Car Land;Car Land;;Car Land;;;;;;;;;x
d_car_land_adj;Car Landian;;Car Lander;;;;;;;;;;;x
d_cavi_cape;Cavi Cape;Cavi Cape;Cavi Cape;;Cavi Cape;;;;;;;;;x
