#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_kingdom;Kingdom;Kingdom;Kingdom;;Kingdom;;;;;;;;;x
k_kingdom_adj;Kingdomian;;kingdomer;;;;;;;;;;;x
k_mushroom;Mushroom Kingdom;Mushroom Kingdom;Mushroom Kingdom;;Mushroom Kingdom;;;;;;;;;x
k_mushroom_adj;Mushroom Kingdomer;Mushroom Kingdomer;Mushroom Kingdomer;;Mushroom Kingdomer;;;;;;;;;x
#Super Mario Bros III Kingdoms
k_darkland;Dark Land;Dark Land;Dark Land;;Dark Land;;;;;;;;;x
k_darkland_adj;Darklander;Darklander;Darklander;;Darklander;;;;;;;;;x
k_pipeland;Pipe Land;Pipe Land;Pipe Land;;Pipe Land;;;;;;;;;x
k_pipeland_adj;Pipelander;Pipelander;Pipelander;;Pipelander;;;;;;;;;x
k_iceland;Ice Land;Ice Land;Ice Land;;Ice Land;;;;;;;;;x
k_iceland_adj;Icelander;Icelander;Icelander;;Icelander;;;;;;;;;x
k_skyland;Sky Land;Sky Land;Sky Land;;Sky Land;;;;;;;;;x
k_skyland_adj;Skylander;Skylander;Skylander;;Skylander;;;;;;;;;x
k_giantland;Giant Land;Giant Land;Giant Land;Giant Land;;Giant Land;;;;;;;;;x
k_giantland_adj;Giantlander;Giantlander;Giantlander;;Giantlander;;;;;;;;;x
k_waterland;Water Land;Water Land;Water Land;;Water Land;;;;;;;;;x
k_waterland_adj;Waterlander;Waterlander;Waterlander;;Waterlander;;;;;;;;;x
k_desertland;Desert Land;Desert Land;Desert Land;;Desert Land;;;;;;;;;x
k_desertland_adj;Desertlander;Desertlander;Desertlander;;Desertlander;;;;;;;;;x
k_grassland;Grass Land;Grass Land;Grass Land;;Grass Land;;;;;;;;;x
k_grassland_adj;Grasslander;Grasslander;Grasslander;;Grasslander;;;;;;;;;x
#Sarasaland
k_birabuto;Birabuto;Birabuto;Birabuto;;Birabuto;;;;;;;;;x
k_birabuto_adj;Birabuto;Birabuto;Birabuto;;Birabuto;;;;;;;;;x
k_muda;Muda;Muda;Muda;;Muda;;;;;;;;;x
k_muda_adj;Mudan;Mudan;Mudan;;Mudan;;;;;;;;;x
k_easton;Easton;Easton;Easton;;Easton;;;;;;;;;x
k_easton_adj;Easton;Easton;Easton;;Easton;;;;;;;;;x
k_chai;Chai;Chai;Chai;;Chai;;;;;;;;;x
k_chai_adj;Chai;Chai;Chai;;Chai;;;;;;;;;x
#Rare Sea/Donkey Kong
k_kongo_bongo;Kongo Bongo;Kongo Bongo;Kongo Bongo;;Kongo Bongo;;;;;;;;;x
k_kongo_bongo_adj;Kongo Bongo;Kongo Bongo;Kongo Bongo;;Kongo Bongo;;;;;;;;;x
k_middle_fruit;Middle Fruit Archipelago;Middle Fruit Archipelago;Middle Fruit Archipelago;;Middle Fruit Archipelago;;;;;;;;;x
k_middle_fruit_adj;Middle Fruit Islander;Middle Fruit Islander;Middle Fruit Islander;Middle Fruit Islander;;;;;;;;;x
k_kremland;Kremland;Kremland;Kremland;;Kremland;;;;;;;;;x
k_kremland_adj;Kremlander;Kremlander;Kremlander;;Kremlander;;;;;;;;;x
k_arctic_fruit;Arctic Fruit Archipelago;Arctic Fruit Archipelago;Arctic Fruit Archipelago;Arctic Fruit Archipelago;;;;;;;;;x
k_arctic_fruit_adj;Arctic Islander;Arctic Islander;Arctic Islander;;Arctic Islander;;;;;;;;;x
