#######################################################
#      TURTLESHROOM PRODUCTIOSN PROUDLY PRESENTS      #
# SUPER MARIO MOD COUNTY-LEVEL PROVINCES LOCALIZATION #
#######################################################
c_rice_beach;Rice Beach;;;;;;;;;;x
c_mount_teapot;Mount Teapot;;;;;;;;;;x
c_sherbert_land;Sherbert Land;;;;;;;;;;x
c_stove_canyon;Stove Canyon;;;;;;;;;;x
c_teacup_cove;Teacup Cove;;;;;;;;;;x
c_parsley_forest;Parsley Forest;;;;;;;;;;x
c_syrup_castle;Syrup Point;;;;;;;;;;x
c_mario_castle_zone;Mario's Castle;;;;;;;;;;x
c_sgc_opening;Introduction Zone;;;;;;;;;;x
c_mario_zone;Mecha-Mario Zone;;;;;;;;;;x
c_pumpkin_zone;Pumpkin Zone;;;;;;;;;;x
c_turtle_zone;Turtle Zone;;;;;;;;;;x
c_macro_zone;Macro Zone;;;;;;;;;;x
c_hippo_zone;Hippopotamus Zone;;;;;;;;;;x
c_tree_zone;Tree Zone;;;;;;;;;;x
c_yoshi_island_zone_one;The Rolling Prairie;;;;;;;;;;x
c_yoshi_island_zone_two;Dusky Uplands;;;;;;;;;;x
c_yoshi_island_zone_three;Ukiksylvania;;;;;;;;;;x
c_yoshi_island_zone_four;Rolling Sunset Valley;;;;;;;;;;x
c_yoshi_island_zone_five;Frozen Cliffs;;;;;;;;;;x
c_donut_plains;Doughnut Plains;;;;;;;;;;x
c_vanilla_dome;Vanilla Dome;;;;;;;;;;x
c_twin_bridges;Butter Bridge;;;;;;;;;;x
c_forest_of_illusion;Forest of Illusion;;;;;;;;;;x
c_chocolate_island;Chocolate Islands;;;;;;;;;;x
c_bowser_reef;Valley of Bowser;;;;;;;;;;x
c_beanbean_castle;Beanbean Capitol;;;;;;;;;;x
c_beanbean_airport;Beanbean Air Base;;;;;;;;;;x
c_beanbean_swamp;Beanbean Swamp;;;;;;;;;;x
c_beanbean_castle;Beanbean Capitol;;;;;;;;;;x
c_beanbean_airport;Beanbean Air Base;;;;;;;;;;x
c_beanbean_swamp;Beanbean Swamp;;;;;;;;;;x
c_stardust_fields;Stardust Fields;;;;;;;;;;x
c_hoohoo_village;Hoohoo Village;;;;;;;;;;x
c_hoohoo_mountain;Hoohoo Mountain;;;;;;;;;;x
c_chateau_de_chucklehuck;Château de Chucklehuck;;;;;;;;;;x
c_chucklehuck_woods;Bois du Rire;;;;;;;;;;x
c_woohoo_university;Woohoo University;;;;;;;;;;x
c_oho_oasis;Oho Oasis;;;;;;;;;;x
c_teehee_valley;Tee Hee Valley;;;;;;;;;;x
c_little_fungitown;Little Fungitown;;;;;;;;;;x
c_guffawha_ruins;Guffawha Ruins;;;;;;;;;;x
c_gwarhar_lagoon;Gwarhar Lagoon;;;;;;;;;;x
c_yoshi_theatre;Yoshi Theater;;;;;;;;;;x
c_joke_end;Joke's End;;;;;;;;;;x
c_beanbean_meadows;Beanbean Meadows;;;;;;;;;;x
c_delfino_airstrip;Delfino Air Base;;;;;;;;;;x
c_delfino_plaza;Delfino;;;;;;;;;;x
c_bianco_hills;Bianco Hills;;;;;;;;;;x
c_ricco_harbour;Ricco Harbor;;;;;;;;;;x
c_gelato_beach;Gelato Beach;;;;;;;;;;x
c_pinna_island;Pinna Island;;;;;;;;;;x
c_sirena_beach;Sirena Beach;;;;;;;;;;x
c_noki_bay;Noki Bay;;;;;;;;;;x
c_pianta_village;Pianta Village;;;;;;;;;;x
c_corona_mountain;Corona Mountain;;;;;;;;;;x
c_peach_beach;Peach Beach;;;;;;;;;;x
c_big_fish_island;Big Fish Island;;;;;;;;;;x
c_little_fish_island;Little Fish Island;;;;;;;;;;x
c_pectoral_fin_peninsula;Pectoral Peninsula;;;;;;;;;;x
c_dorsal_fin_bay;Dorsal Bay;;;;;;;;;;x
c_angelo_harbour;Angelo Harbor;;;;;;;;;;x
c_tailfin_bay;Tailfin;;;;;;;;;;x
c_grande_artiglio_island;Greater Claw Island;;;;;;;;;;x
c_piccolo_artiglio_island;Lesser Claw Island;;;;;;;;;;x
c_bocca_beach;Mouthshore;;;;;;;;;;x
c_fianco_harbour;Flankside;;;;;;;;;;x
c_corrazza_mountains;Mount Armor;;;;;;;;;;x
c_gamba_sinistra_islands;Isles of the Left Leg;;;;;;;;;;x
c_gamba_destra_islands;Isles of the Right Leg;;;;;;;;;;x
c_granchio_airport;Fort Crab;;;;;;;;;;x
c_booty_boardwalk;Big Booty Boardwalk;;;;;;;;;;x
c_minnow_island;Minnow Island;;;;;;;;;;x
c_isle_tartaruga;Tortoise Island;;;;;;;;;;x
c_isle_cuore;Heart Island;;;;;;;;;;x
c_isle_zuccone;Dunce;;;;;;;;;;x
c_isle_liuto;Isles of the Lute;;;;;;;;;;x
c_isle_embricata;Sea Turtle World;;;;;;;;;;x
c_isle_schiena_piatta;Back;;;;;;;;;;x
c_koopa_kabana;Koopa Kabana;;;;;;;;;;x
c_jalapeno_beach;Jalapeño Beach;;;;;;;;;;x
c_habanero_harbour;Habañero Harbor;;;;;;;;;;x
c_cayenne_cove;Cayenne Chili Cove;;;;;;;;;;x
c_banana_bay;Banana Bay;;;;;;;;;;x
